IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
3752;Motorola DP3600 / 3601;0;0.00
3751;Motorola DP3400 / 3401;0;0.00
3749;Motorola DP2600;0;0.00
3740;Kenwood TK-3170M / TK-3170M3;0;0.00
3738;Kenwood TK-2206;0;0.00
3736;Kenwood TK-2160;0;0.00
3734;Icom IC-F43GT;0;0.00
3733;Icom IC-F40GT;0;0.00
3732;Icom IC-F3GT;0;0.00
3731;Icom IC-F3GS;0;0.00
3730;Icom IC-F33GT;0;0.00
3729;Icom IC-F30GT;0;0.00
3726;Motorola P080;0;0.00
3725;Motorola P020;0;0.00
3724;Motorola GP900;0;0.00
3723;Motorola GP688;0;0.00
3722;Motorola GP680;0;0.00
3721;Motorola GP644;0;0.00
3720;Motorola GP640;0;0.00
3719;Motorola GP388;0;0.00
3718;Motorola GP380;0;0.00
3717;Motorola GP360;0;0.00
3716;Motorola GP344;0;0.00
3715;Motorola GP340;0;0.00
3714;Motorola GP320;0;0.00
3713;Motorola GP140;0;0.00
3712;Motorola GP1280;0;0.00
3711;Motorola CP180;0;0.00
3710;Motorola CP160;0;0.00
3704;Motorola CP040;0;0.00
3703;Motorola CP140;0;0.00
15572;Hytera BD505 LF;0;0.00
15180;Гранит 2Р-45;0;0.00
15177;Гранит Р-41;0;0.00
14723;КОМБАТ T-54 DMR UHF/VHF;0;0.00
14721;Комбат T-340B VHF/UHF;0;0.00
14719;Комбат T-440B DMR;0;0.00
14717;КОМБАТ T-54 SMART DMR-2;0;0.00
14504;Caltta PH500;0;0.00
14503;Caltta PH520;0;0.00
14502;Caltta PH690L;0;0.00
14500;Caltta PH690;0;0.00
14499;Caltta PH700L;0;0.00
14496;Caltta PH700;0;0.00
14494;Caltta PH790L;0;0.00
14492;Caltta PH790;0;0.00
14490;Caltta Z9;0;0.00
14457;Kenwood TК-F6 UHF;0;0.00
14374;Motorola VZ-18;0;0.00
14372;Motorola VZ-10;0;0.00
14289;Motorola MTP6650 TETRA;0;0.00
14047;TurboSky T1;0;0.00
13949;Motorola TALKABOUT T92 H2O;0;0.00
13937;Alinco DJ-D47;0;43500.00
13930;Alinco DJ-D17;0;43500.00
13875;Icom IP501H;0;0.00
